date,plays
2015/06/17,114
2015/06/18,261
2015/06/19,355
2015/06/20,323
2015/06/21,253
2015/06/22,104
2015/06/23,239
2015/06/24,330
2015/06/25,123
2015/06/26,69
2015/06/27,72
2015/06/28,68
2015/06/29,157
2015/06/30,213
2015/07/01,38
2015/07/02,35
2015/07/03,48
2015/07/04,242
2015/07/05,138
2015/07/06,309
2015/07/07,303
2015/07/08,274
2015/07/09,334
2015/07/10,341
2015/07/11,214
2015/07/12,95
2015/07/13,235
2015/07/14,51
2015/07/15,280
2015/07/16,333
2015/07/17,165
2015/07/18,108
2015/07/19,47
2015/07/20,165
2015/07/21,144
2015/07/22,344
2015/07/23,208
2015/07/24,141
2015/07/25,41
2015/07/26,54
2015/07/27,100
2015/07/28,143
2015/07/29,138
2015/07/30,123
2015/07/31,229
2015/08/01,347
2015/08/02,240
2015/08/03,12
2015/08/04,118
2015/08/05,30
2015/08/07,66
2015/08/08,71
2015/08/09,14
2015/08/10,5
2015/08/11,26
2015/08/13,2
2015/08/15,7
2016/04/08,50
2016/04/09,12
2016/04/10,67
2016/04/11,51
2016/04/12,31
2016/04/13,42
2016/04/14,30
2016/04/15,40
2016/04/16,36
2016/04/17,12
2016/04/18,12
2016/04/19,120
2016/04/20,16
2016/04/22,89
2016/04/23,117
2016/04/24,45
2016/04/25,80
2016/04/26,136
2016/04/27,16
2016/04/28,77
2016/04/29,77
2016/05/18,62
2016/05/19,108
2016/05/20,180
2016/05/21,118
2016/05/22,63
2016/05/23,177
2016/05/24,101
2016/05/25,51
2016/05/26,135
2016/05/27,202
2016/05/28,85
2016/05/29,95
2016/05/30,94
2016/05/31,29
2016/06/01,27
2016/06/02,37
2016/06/03,35
2016/06/04,124
2016/06/05,172
2016/06/06,63
2016/06/07,95
2016/06/08,60
2016/06/09,53
2016/06/10,74
2016/06/11,122
2016/06/12,111
2016/06/13,112
2016/06/14,5
2016/06/15,21
2016/06/17,47
2016/06/18,99
2016/06/19,83
2016/06/20,39
2016/06/21,19
2016/06/22,14
2016/06/23,17
2016/06/24,5
2016/06/25,3
2016/06/26,4
2016/06/27,4
2016/06/28,46
2016/06/29,110
2016/06/30,67
2016/07/01,156
2016/07/02,34
2016/07/03,74
2016/07/04,61
2016/07/05,89
2016/07/06,7
2016/07/07,5
2016/07/08,27
2016/07/09,26
2016/07/10,14
2016/07/11,8
2016/07/12,10
2016/07/13,6
2016/07/14,11
2016/07/15,43
2016/07/16,59
2016/07/17,30
2016/07/18,28
2016/07/19,76
2016/07/20,72
2016/07/21,45
2016/07/22,145
2016/07/23,50
2016/07/24,12
2016/07/26,12
2016/07/27,4
2016/07/28,9
2016/07/29,42
2016/07/30,24
2016/07/31,2
2016/08/01,6
2016/08/02,2
2016/08/04,41
2016/08/05,67
2016/08/06,89
2016/08/07,92
2016/08/08,93
2016/08/09,122
2016/08/10,46
2016/08/11,54
2016/08/12,86
2016/08/13,41
2016/08/14,146
2016/08/15,6
2016/08/16,42
2016/08/17,48
2016/08/18,61
2016/08/19,7
2016/08/20,23
2016/08/21,26
2016/08/22,15
2016/08/23,18
2016/08/24,29
2016/08/25,60
2016/08/26,37
2016/08/27,22
2016/08/28,115
2016/08/29,29
2016/08/30,107
2016/08/31,102
2016/09/01,29
2016/09/02,8
2016/09/03,10
2016/09/04,10
2016/09/05,8
2016/09/06,2
2016/09/07,2
2016/09/08,7
2016/09/09,15
2016/09/10,34
2016/09/11,39
2016/09/12,35
2016/09/13,117
2016/09/14,96
2016/09/15,21
2016/09/16,4
2016/09/18,19
2016/09/19,15
2016/09/20,5
2016/09/21,6
2016/09/22,79
2016/09/23,100
2016/09/24,56
2016/09/25,65
2016/09/26,20
2016/09/27,15
2016/09/28,8
2016/09/29,17
2016/09/30,20
2016/10/01,5
2016/10/02,5
2016/10/03,30
2016/10/04,59
2016/10/05,35
2016/10/06,50
2016/10/07,81
2016/10/08,87
2016/10/09,61
2016/10/10,44
2016/10/11,47
2016/10/12,14
2016/10/13,22
2016/10/14,24
2016/10/15,11
2016/10/16,30
2016/10/17,16
2016/10/18,34
2016/10/19,6
2016/10/20,5
2016/10/21,4
2016/10/22,1
2016/10/23,4
2016/10/24,30
2016/10/25,2
2016/10/26,6
2016/10/27,7
2016/10/28,69
2016/10/29,10
2016/10/30,1
2016/11/01,13
2016/11/02,5
2016/11/03,36
2016/11/04,8
2016/11/05,32
2016/11/06,7
2016/11/14,3
2016/11/15,4
2016/11/16,8
2016/11/18,60
2016/11/19,48
2016/11/20,4
2016/11/21,110
2016/11/22,15
2016/11/23,13
2016/11/25,2
2016/11/26,1
2016/11/27,14
2016/11/29,3
2016/11/30,13
2016/12/01,10
2016/12/02,11
2016/12/03,64
2016/12/04,63
2016/12/05,189
2016/12/06,5
2016/12/07,24
2016/12/08,42
2016/12/09,19
2016/12/10,162
2016/12/11,245
2016/12/12,11
2016/12/13,12
2016/12/14,44
2016/12/15,7
2016/12/16,3
2016/12/17,69
2016/12/18,34
2016/12/19,23
2016/12/20,2
2016/12/21,13
2016/12/22,9
2016/12/23,9
2016/12/25,1
2016/12/27,22
2016/12/28,14
2016/12/29,34
2016/12/30,41
2016/12/31,7
2017/01/02,4
2017/01/03,3
