artist,amount_of_songs,amount_of_plays
Empire of the Sun,4,7
Klangkarussell,12,143
Grandson,24,300
Lucky Luke,8,62
HVME,1,44
Castlecomer,2,55
Kygo,70,820
Aftermath,1,20
Translate AMK,1,6
WINATI,1,2
Klaas,2,33
DMNDS,1,3
HVSH,1,9
TRFN,4,13
Ed Marquis,2,9
Besomorph,6,40
Pulsedriver,1,5
Alok,3,16
mount,1,6
Chico Rose,2,19
Linius,4,33
Stefy De Cicco,1,15
Dwin,1,5
Dan Port,1,6
Darrell Story,2,29
Galwaro,2,17
Jon Howard,1,12
Gaullin,9,75
Moonshine,1,8
Tiësto,39,363
Hours,1,2
KVSH,1,3
ESH,1,5
Marcus Layton,2,4
Vinai,1,7
LIUFO,3,26
Steve Void,2,11
dubdogz,1,11
Kaan Pars,1,5
Arc North,2,6
Dynoro,6,339
Olympis,1,9
Dimitri Vegas & Like Mike,12,72
Drenchill,2,10
twocolors,1,6
Yves V,2,23
Quarantino,1,6
Lonelysoul.,1,5
Mike Gudmann,1,9
Ilkay Sencan,2,7
Mike Candys,1,11
Vize,1,25
Eastblock Bitches,1,2
Stromae,8,167
Y2K,1,15
Alex Parker,1,8
DRØOM,1,3
FELLA,3,17
Tujamo,1,3
Hotway,1,10
Robin Schulz,14,65
Tommee Profitt,23,97
yarimov,1,11
surf mesa,1,7
Jax Jones,9,109
Tamer Kaan,1,7
Regard,1,26
Elderbrook,5,82
Topic,2,7
Möwe,1,10
Martin Vide,2,6
Ugg'A,1,5
Sia,30,191
LUM!X,3,12
Imagine Dragons,32,508
The Partysquad,8,105
Disclosure,7,36
Major Lazer,44,859
Bright Eyes,1,23
Shakira,4,35
N.E.R.D,7,25
Bonnie Tyler,2,13
Kensington,33,311
Bring Me the Horizon,4,31
Run the Jewels,84,332
Avenged Sevenfold,47,1989
CHVRCHES,2,33
Nate Feuerstein,2,37
Powfu,1,13
Duke Dumont,10,172
Breaking Benjamin,12,128
Audien,4,42
Lost Frequencies,34,267
Virtual Boy,8,75
Infected Mushroom,181,4320
Taylor Swift,7,21
Alex Gaudino,5,28
Daft Punk,52,496
The Opposites,6,60
Dua Lipa,12,182
Nena,1,9
Outsiders,1,7
Eminem,130,1768
Shawn Mendes,6,42
Michael Hunter,2,26
Garmiani,3,34
Avicii,27,179
JAY-Z,13,51
Elvis Presley,4,8
Raaban,2,3
Mindless Self Indulgence,22,139
Lorde,10,134
Wolfgang Amadeus Mozart,7,61
OutKast,7,55
Guus Meeuwis,5,13
NF,41,547
Tenacious D,11,190
Macklemore & Ryan Lewis,6,53
Muse,118,2269
Gigi D'Agostino,11,124
Drake,2,27
Chef'Special,2,43
Nelly Furtado,1,9
Timmy Trumpet,6,24
D-Block & S-te-Fan,18,52
Coldplay,41,274
Metallica,11,84
Headhunterz,8,35
Calvin Harris,24,175
Dr. Dre,9,131
Cartoons,1,24
Gers Pardoel,3,18
AJR,14,71
Axel Thesleff,6,121
Ella Eyre,1,74
Cosmosis,1,12
Tones and I,4,98
MATOMA,3,35
Unlike Pluto,36,413
Apollo Fresh,1,17
Icona Pop,2,17
Linkin Park,54,597
SKAN,11,45
Lewis Capaldi,1,40
The Script,10,69
Aqua,1,26
Fort Minor,11,179
Skrillex,24,309
Dirtyphonics,3,23
Alaa,1,20
Billie Eilish,10,43
Sean Paul,5,60
Teriyaki Boyz,2,21
2 Chainz,1,19
Donnie,1,4
Tinie Tempah,7,40
TheFatRat,4,31
Jop,1,3
Golden Features,6,59
OneRepublic,9,170
Ellie Goulding,5,34
Green Day,13,48
Finger Eleven,2,24
Queen,66,272
Carly Rae Jepsen,5,19
Kool & The Gang,3,20
Big Data,34,680
Three Days Grace,31,215
Pendulum,70,931
Halestorm,4,46
Faul & Wad Ad,3,24
Case & Point,1,11
Nathan Feuerstein,9,117
Bloodhound Gang,7,113
Zedd,20,153
Big Sean,2,8
Bastille,10,67
Swedish House Mafia,15,163
Kshmr,7,33
ScHoolboy Q,12,181
Jasper Forks,1,18
Vengaboys,3,6
Marshmello,5,59
Excision,5,56
deadmau5,26,249
Antony and the Johnsons,1,20
Disturbed,45,446
Lizot,2,2
LOST FREQUENCIES & NETSKY,1,1
Dotan,4,20
Yolanda Be Cool,2,16
Ava Max,2,19
Classified,2,23
The Glitch Mob,54,428
Bon Jovi,3,34
Beck,1,21
Josh Osho,1,19
N.W.A.,2,8
Foxes,3,50
J Balvin,2,16
Seeed,3,8
Kavinsky,21,477
Clean Bandit,23,113
Mumford & Sons,2,45
Chuck Berry,1,17
Hans Zimmer,10,67
St. Vincent,3,21
Ed Sheeran,14,97
Army of the Pharaohs,82,801
Dog Blood,1,4
Natalie Imbruglia,1,6
Ratatat,4,71
Portugal. The Man,2,7
Sigurd Barrett,1,1
Witt Lowry,35,473
Astronaut,9,40
Soil,10,100
Village People,3,14
Tom Odell,7,71
Mt. Eden,8,121
Flosstradamus,11,124
Led Zeppelin,12,39
Christina Aguilera,1,14
Train,4,38
Barely Alive,5,47
Volbeat,19,115
Noisestorm,2,27
Davina Michelle,2,3
Blue Öyster Cult,1,5
Lana Del Rey,7,40
Descent Into Nice,1,2
"It's hard to watch, but I can't look away",1,1
Kanye West,27,274
The Saturdays,1,6
Franz Ferdinand,2,2
NO CITY WIN ONLY CHALLENGE,1,1
Van Halen,1,4
Jay Kill & The Hustle Standard,1,19
Savant,10,18
Warface,1,3
Syn Cole,7,41
Guns N' Roses,6,69
Flat Earth,1,2
Woodkid,19,438
Party Animals,2,26
Jawsh 685,2,2
Alan Walker,28,191
Rihanna,12,143
Eric Johnson,3,59
De Staat,2,4
Lynyrd Skynyrd,1,5
Onbekende artiest,6,11
Rammstein,17,175
Passion Pit,2,33
Wale,2,24
Blue Stahli,5,26
Galantis,6,17
J.Views,1,22
Stan SB,4,21
Lucidious,2,9
Bro Safari,1,3
Matrix,2,13
Electric Light Orchestra,9,77
Ranji,2,69
David Guetta,33,437
Pitbull,10,82
The Chainsmokers,41,249
DMX,9,140
DJ Khaled,5,33
GotSome,5,55
Sam Smith,4,51
The Score,20,311
TroyBoi,13,48
Bakermat,15,99
Rudimental,37,180
Thomas Bergersen,14,234
Machines Don't Care,1,2
Doap Nixon,1,4
Supergrass,1,22
Que & Rkay,1,3
Trap Nation,8,8
Blondie,3,36
Lithuania HQ,1,1
Beyoncé,5,41
Stephen,4,44
Machine Gun Kelly,23,65
Limp Bizkit,3,36
Men at Work,1,5
A.H M.,1,1
2Pac,5,38
D12,3,3
Black Eyed Peas,8,10
Billy Talent,12,88
Benny Benassi,13,58
Basement Jaxx,3,33
The Baseballs,3,26
Asaf Avidan & The Mojos,3,28
Anouk,3,61
Alexandra Stan,1,18
Analog People In a Digital World,2,14
Alphabeat,1,21
The All-American Rejects,1,20
Alien Ant Farm,2,31
